iter	RMSE
191	4.208957988
192	4.201762188
193	4.18494183
194	4.178501506
195	4.170989679
196	4.162804185
197	4.155044679
198	4.144469377
199	4.13455267
200	4.12346924
201	4.117479627
202	4.110287299
203	4.10504981
204	4.092885403
205	4.084691156
206	4.072509848
207	4.068826075
208	4.062256181
209	4.055257194
210	4.045052331
211	4.033399756
212	4.028935278
213	4.020819199
214	4.014284359
215	4.007819195
216	4.006187312
217	4.000448111
218	3.993307796
219	3.982808319
220	3.97909242
221	3.968749712
222	3.964456774
223	3.96175758
224	3.952816714
225	3.947465415
226	3.945020826
227	3.940376393
228	3.938591175
229	3.936129509
230	3.933419949
231	3.924394916
232	3.920575804
233	3.913095715
234	3.905637499
235	3.896295034
236	3.888962703
237	3.881590642
238	3.879073631
239	3.875196397
240	3.865332868
241	3.86058111
242	3.851143739
243	3.842481702
244	3.837435624
245	3.827615378
246	3.818800554
247	3.810068083
248	3.80111344
249	3.797845212
250	3.791032901
251	3.782557081
252	3.77600347
253	3.769204205
254	3.762042912
255	3.756401068
256	3.750681872
257	3.744213793
258	3.741571938
259	3.735535993
260	3.73398834
261	3.732301942
262	3.725074746
263	3.723600065
264	3.713889296
265	3.711925451
266	3.706977019
267	3.700592615
268	3.69309394
269	3.686046988
270	3.683579994
271	3.676589956
272	3.674922302
273	3.665773813
274	3.663614334
275	3.662150821
276	3.659316434
277	3.649360122
278	3.641822335
279	3.637556266
280	3.63139423
281	3.624926778
282	3.618378837
283	3.609845295
284	3.600555895
285	3.592136579
286	3.583170543
287	3.581809203
288	3.575894293
289	3.572202238
290	3.565149542
291	3.563364219
292	3.559329357
293	3.555629893
294	3.551300855
295	3.54980651
296	3.54387412
297	3.535540756
298	3.530371327
299	3.520081392
300	3.517620023
301	3.506893349
302	3.500237886
303	3.493982705
304	3.490769697
305	3.47996541
306	3.473714384
307	3.470261648
308	3.464105421
309	3.462909207
310	3.453505704
311	3.44811541
312	3.4442387
313	3.442025501
314	3.434056631
315	3.428072031
316	3.423395772
317	3.417710301
318	3.409865802
319	3.404868116
320	3.402105346
321	3.390708992
322	3.385442832
323	3.383177333
324	3.380882005
325	3.377584434
326	3.372262084
327	3.369313183
328	3.366296418
329	3.357124069
330	3.354077805
331	3.34877781
332	3.339501697
333	3.32938755
334	3.324181753
335	3.321303027
336	3.316220214
337	3.30490665
338	3.300845335
339	3.299170803
340	3.289651823
341	3.28481499
342	3.274865057
343	3.267601924
344	3.263980846
345	3.25932341
346	3.250013209
347	3.245411495
348	3.243687862
349	3.23612938
350	3.228662422
351	3.225921858
352	3.221133555
353	3.217462261
354	3.215648209
355	3.211846725
356	3.209964792
357	3.205261002
358	3.203782724
359	3.198631105
360	3.192510701
361	3.184108511
362	3.179689998
363	3.170679189
364	3.168130976
365	3.158895328
366	3.157086804
367	3.152222546
368	3.144965895
369	3.139886751
370	3.133277579
371	3.131068464
372	3.126874002
373	3.124118282
374	3.119947691
375	3.115424731
376	3.106540118
377	3.10047562
378	3.098945994
379	3.090736037
380	3.081561329
381	3.072633559
382	3.071518145
383	3.069229781
384	3.059667106
385	3.056937139
386	3.050982931
387	3.039777837
388	3.037166321
389	3.035512415
390	3.033824409
391	3.027313335
392	3.019279223
393	3.017066994
394	3.015196115
395	3.007382555
396	3.001666301
397	3.000546711
398	2.992569215
399	2.988208277
400	2.980637713
401	2.979083199
402	2.972859856
403	2.964110961
404	2.956961029
405	2.948579112
406	2.947568181
407	2.940504055
408	2.939436316
409	2.933481343
410	2.931186694
411	2.923114772
412	2.920996764
413	2.918931176
414	2.917086856
415	2.916090365
416	2.908024261
417	2.900694104
418	2.894373583
419	2.890908654
420	2.886866175
421	2.879517528
422	2.871759717
423	2.867862107
424	2.866086689
425	2.865020939
426	2.863184033
427	2.855876963
428	2.848703305
429	2.839643826
430	2.83817963
431	2.830469685
432	2.824947589
433	2.819047835
434	2.813930183
435	2.807625132
436	2.806660462
437	2.803715851
438	2.800017898
439	2.798276334
440	2.794986769
441	2.793053016
442	2.791170551
443	2.782331402
444	2.778220699
445	2.776378264
446	2.774843098
447	2.768101434
448	2.766541704
449	2.759519683
450	2.757812079
451	2.756232244
452	2.749980543
453	2.742950433
454	2.742091565
455	2.74005582
456	2.739161843
457	2.730197224
458	2.723254587
459	2.721528336
460	2.717303936
461	2.713079653
462	2.705632564
463	2.700475895
464	2.694705622
465	2.693214389
466	2.691672675
467	2.686568197
468	2.681372637
469	2.680612045
470	2.672843811
471	2.666504285
472	2.665156162
473	2.656893709
474	2.653491069
475	2.650061853
476	2.64835063
477	2.642214754
478	2.63509855
479	2.629839979
480	2.627145365
481	2.620333575
482	2.616244338
483	2.61465678
484	2.613309868
485	2.612403011
486	2.606686324
487	2.599931659
488	2.597871647
489	2.59688918
490	2.594815633
491	2.589879565
492	2.583454835
493	2.576865168
494	2.575791948
495	2.570645169
496	2.563578062
497	2.555959161
498	2.553758497
499	2.552453172
500	2.54665092
501	2.545874996
502	2.545090636
503	2.543685837
504	2.538634101
505	2.536751479
506	2.532553309
507	2.52615991
508	2.519995937
509	2.51407269
510	2.508893001
511	2.50301713
512	2.501644121
513	2.495427538
514	2.494468013
515	2.493146516
516	2.49185866
517	2.488471927
518	2.487340935
519	2.481835874
520	2.480943914
521	2.47974884
522	2.474060252
523	2.473189882
524	2.469537598
525	2.46325434
526	2.457762513
527	2.456709216
528	2.454848787
529	2.448024472
530	2.441520007
531	2.438179429
532	2.435675859
533	2.429833826
534	2.429105831
535	2.428317575
536	2.42409671
537	2.418550595
538	2.414509153
539	2.412059436
540	2.410563407
541	2.404105272
542	2.400657458
543	2.397698251
544	2.394803934
545	2.391995827
546	2.385808282
547	2.37983926
548	2.373985204
549	2.372251309
550	2.367787483
551	2.362956951
552	2.358055782
553	2.35359207
554	2.34877465
555	2.347842177
556	2.342436957
557	2.340690139
558	2.336055348
559	2.331126932
560	2.326619203
561	2.325126489
562	2.324006818
563	2.320652212
564	2.319567735
565	2.317175758
566	2.315335499
567	2.314399782
568	2.309115183
569	2.304730204
570	2.301660689
571	2.297395469
572	2.291806353
573	2.290967794
574	2.29017075
575	2.285796221
576	2.284056612
577	2.282416862
578	2.277213488
579	2.273214537
580	2.2724463
581	2.271675094
582	2.266997227
583	2.26310558
584	2.258986519
585	2.255849163
586	2.251202889
587	2.243915332
588	2.242869552
589	2.241957309
590	2.235059127
591	2.231202304
592	2.227546635
593	2.223055405
594	2.219233161
595	2.213387339
596	2.208348197
597	2.203667214
598	2.20161696
599	2.199841665
600	2.195083343
601	2.188195596
602	2.184838038
603	2.182397244
604	2.181538139
605	2.180998784
606	2.180717352
607	2.17672629
608	2.172814991
609	2.168099225
610	2.16691264
611	2.163801293
612	2.159010503
613	2.157971358
614	2.155280891
615	2.153178278
616	2.149013542
617	2.144895812
618	2.140887608
619	2.139937833
620	2.139032901
621	2.138012613
622	2.136023057
623	2.13426965
624	2.132558755
625	2.128820928
626	2.128099996
627	2.127397001
628	2.124267281
629	2.123368962
630	2.118712942
631	2.115974484
632	2.115231476
633	2.114369234
634	2.108262434
635	2.104338209
636	2.100893659
637	2.097928551
638	2.092395639
639	2.088659875
640	2.083707268
641	2.078925071
642	2.078193183
643	2.073972882
644	2.070727447
645	2.069709864
646	2.065697838
647	2.062809838
648	2.06195662
649	2.057451399
650	2.054968605
651	2.053519016
652	2.050299185
653	2.048810758
654	2.047137857
655	2.044766329
656	2.040215443
657	2.03978964
658	2.037366715
659	2.034270429
660	2.031186591
661	2.029134227
662	2.027390687
663	2.023975958
664	2.022747976
665	2.019510212
666	2.018545323
667	2.016338849
668	2.012983157
669	2.010753313
670	2.009723849
671	2.00802563
672	2.006733628
673	2.002678606
674	2.001431018
675	1.9977897
676	1.996774799
677	1.994436408
678	1.992746078
679	1.989427215
680	1.988006884
681	1.986887249
682	1.985039198
683	1.982936883
684	1.977423402
685	1.973590068
686	1.970420189
687	1.967449783
688	1.96551992
689	1.962702422
690	1.960758148
691	1.960016487
692	1.956445544
693	1.955121958
694	1.952579337
695	1.952304831
696	1.949855282
697	1.946744852
698	1.941974474
699	1.938261665
700	1.933767429
701	1.932582462
702	1.927642008
703	1.92475329
704	1.922099383
705	1.920454144
706	1.919716172
707	1.918517474
708	1.917280105
709	1.913186929
710	1.912448655
711	1.909943468
712	1.907669333
713	1.905846492
714	1.903522839
715	1.89904361
716	1.896962689
717	1.892720846
718	1.891858664
719	1.891080981
720	1.890247767
721	1.889659338
722	1.887084314
723	1.883142643
724	1.882430286
725	1.878600119
726	1.877217138
727	1.874921784
728	1.873740257
729	1.871369562
730	1.869898743
731	1.869571308
732	1.865587347
733	1.86066592
734	1.858133487
735	1.856809882
736	1.85403107
737	1.85344274
738	1.852836017
739	1.850184588
740	1.847890343
741	1.846976108
742	1.846167072
743	1.845978407
744	1.845121743
745	1.844317116
746	1.843512552
747	1.843348774
748	1.840872519
749	1.838734891
750	1.836061644
751	1.833334046
752	1.828653303
753	1.824426297
754	1.82357435
755	1.82086541
756	1.817234179
757	1.812913058
758	1.80924506
759	1.806154935
760	1.805930672
761	1.804227018
762	1.803798133
763	1.799711778
764	1.799281376
765	1.796804184
766	1.795736016
767	1.795586285
768	1.792575241
769	1.790792435
770	1.789755513
771	1.789572758
772	1.785489739
773	1.781790691
774	1.778748928
775	1.776970522
776	1.773224267
777	1.772073058
778	1.769215113
779	1.768877264
780	1.767658665
781	1.766413898
782	1.765649325
783	1.763417512
784	1.758685261
785	1.758122819
786	1.756043366
787	1.755795244
788	1.752502886
789	1.752301591
790	1.750867923
791	1.748205041
792	1.74489964
793	1.744159473
794	1.742907124
795	1.741413295
796	1.740324967
797	1.737138102
798	1.733405309
799	1.730451994
800	1.729581827
801	1.726960104
802	1.72331429
803	1.720392825
804	1.720162046
805	1.716920769
806	1.716086093
807	1.715620206
808	1.713259314
809	1.710569256
810	1.709351853
811	1.709164029
812	1.70435814
813	1.703632838
814	1.701774437
815	1.697899641
816	1.695944478
817	1.691885879
818	1.688959732
819	1.685331939
820	1.684965555
821	1.682322543
822	1.681495695
823	1.680292134
824	1.676796193
825	1.674766807
826	1.671561043
827	1.670620263
828	1.667664709
829	1.667463519
830	1.665943542
831	1.663590768
832	1.662576453
833	1.661878614
834	1.66086835
835	1.657803293
836	1.655668601
837	1.653886689
838	1.653693524
839	1.650931132
840	1.650174345
841	1.647327119
842	1.643326283
843	1.638683423
844	1.637319666
845	1.634711124
846	1.630837812
847	1.627834201
848	1.627633719
849	1.626459393
850	1.625438662
851	1.622921729
852	1.621178846
853	1.619826789
854	1.618136728
855	1.617339675
856	1.613645326
857	1.610969124
858	1.610272283
859	1.608777775
860	1.604262627
861	1.603292316
862	1.602409245
863	1.601962808
864	1.600156763
865	1.599200213
866	1.595733581
867	1.59408803
868	1.589882424
869	1.587206625
870	1.583245567
871	1.583098314
872	1.580848515
873	1.577916547
874	1.574332342
875	1.572839584
876	1.56875505
877	1.567679301
878	1.56494769
879	1.562457201
880	1.560892848
881	1.560211951
882	1.557813101
883	1.554875323
884	1.549753896
885	1.549606242
886	1.547023452
887	1.546445646
888	1.545868372
889	1.544115008
890	1.541763089
891	1.539921656
892	1.538207548
893	1.537950849
894	1.537859489
895	1.533963467
896	1.531680512
897	1.529219887
898	1.527505844
899	1.526099233
900	1.523908785
901	1.522486671
902	1.521118426
903	1.517666562
904	1.516121886
905	1.513918758
906	1.513149584
907	1.511069472
908	1.508525637
909	1.506424909
910	1.50452686
911	1.504098764
912	1.503953791
913	1.503288255
914	1.501197052
915	1.498883557
916	1.496374206
917	1.495942645
918	1.494298727
919	1.491801388
920	1.490551314
921	1.490073573
922	1.48876664
923	1.486704279
924	1.484904966
925	1.482420946
926	1.480764364
927	1.477022747
928	1.47618262
929	1.474640924
930	1.474283796
931	1.472153106
932	1.469621467
933	1.468306605
934	1.467177053
935	1.4650232
936	1.463599395
937	1.460538369
938	1.460414593
939	1.459976884
940	1.458757789
941	1.45722587
942	1.455554563
943	1.454752623
944	1.453110124
945	1.452548211
946	1.450391877
947	1.448814344
948	1.448042871
949	1.446213213
950	1.444143302
951	1.442333028
952	1.441921189
953	1.441653245
954	1.438362789
955	1.43532219
956	1.433718645
957	1.431257735
958	1.430627893
959	1.430013379
960	1.428180427
961	1.426527116
962	1.425922465
963	1.425202822
964	1.423974761
965	1.421661752
966	1.417196014
967	1.415487075
968	1.415203086
969	1.414415385
970	1.411957923
971	1.4110806
972	1.409722943
973	1.409462212
974	1.406251022
975	1.402672869
976	1.401063778
977	1.398700167
978	1.397421329
979	1.395749258
980	1.393280645
981	1.392034157
982	1.391890241
983	1.390447234
984	1.390229046
985	1.38660943
986	1.38383982
987	1.382503357
988	1.381548338
989	1.379909859
990	1.379533468
991	1.379172926
992	1.378430432
993	1.377206512
994	1.376401196
995	1.374121092
996	1.370680837
997	1.368595011
998	1.367325714
999	1.365582521
